SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
166,Lucas Freitas,br BRA,DF,Vasco da Gama,24-170,2001,7.6,4,0.52,3,0,0,1,0,0,0,0,0,0,0,0,0,0,
167,Marlon Freitas,br BRA,MF,Botafogo (RJ),30-104,1995,10.3,32,3.1,29,2,0,1,0,0,5,0.48,5,0,0,0,0,0,
168,Riquelme Freitas,br BRA,MF,GrÃªmio,18-330,2006,0.3,1,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
169,Juan Freytes,ar ARG,DF,Fluminense,25-179,2000,11,5,0.45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,Bruno Fuchs,br BRA,DF,Palmeiras,26-099,1999,4.6,4,0.86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,Gabriel Fuentes,co COL,DF,Fluminense,28-150,1997,3,13,4.33,9,2,1,0,0,1,0,0,0,0,0,0,0,0,
172,Gabriel,br BRA,DF,Bahia,24-064,2001,1.5,1,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,Gabriel,br BRA,MF,FW,Mirassol,35-184,1990,5.7,16,2.82,11,2,0,2,1,0,1,0.18,0,0,0,0,1,0
174,Gabriel,br BRA,GK,VitÃ³ria,32-285,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,Gabriel,br BRA,MF,RB Bragantino,32-364,1992,9.9,15,1.52,13,0,0,0,0,2,0,0,0,0,0,0,0,0,
